tp,time.s,gas,v2.mV,v3.mV
1,1.88100004196167,H2,120.2492057377581,37.09429602998193
2,2.0899999141693115,H2,120.2539370153819,36.94485523928592
3,2.2990000247955322,H2,120.24684012601361,36.969415136915316
4,2.507999897003174,H2,120.23501233795709,36.7548355604369
5,2.7170000076293945,H2,120.23501233795709,36.98169592827794
6,2.9260001182556152,H2,120.24447453231369,37.06972470768544
7,3.134999990463257,H2,120.24684012601361,37.05948732024944
8,3.3440001010894775,H2,120.2231850009916,37.213089123031786
9,3.552999973297119,H2,120.23028134904135,37.1885069305421
10,3.76200008392334,H2,120.2397433990473,37.01035329277402
11,3.9709999561309814,H2,120.23737785948019,37.13320522205954
12,4.179999828338623,H2,120.24447453231369,37.17826501429933
13,4.388999938964844,H2,120.2539370153819,37.151637859705765
14,4.5980000495910645,H2,120.23501233795709,37.17826501429933
15,4.807000160217285,H2,120.24210895665833,37.05948732024944
16,5.015999794006348,H2,120.23264683447753,36.87972749777813
17,5.224999904632568,H2,120.2539370153819,36.97555546238029
18,5.434000015258789,H2,120.2515713675475,36.658646972025146
19,5.64300012588501,H2,120.24684012601361,36.45614971223843
20,5.8520002365112305,H2,120.2279158816485,36.46432845719338
21,6.060999870300293,H2,120.23264683447753,36.65660078086874
22,6.269999980926514,H2,120.2397433990473,37.00216516223465
23,6.479000091552734,H2,120.22555043229866,37.168023488589384
24,6.688000202178955,H2,120.21135811509143,37.393427301684156
25,6.896999835968018,H2,120.21372345618741,37.470458184035934
26,7.105999946594238,H2,120.24210895665833,37.07381977194135
27,7.315000057220459,H2,120.24447453231369,36.83672535318705
28,7.52400016784668,H2,120.25866836518695,36.63204770401551
29,7.732999801635742,H2,120.2397433990473,36.69752756890321
30,7.941999912261963,H2,120.2279158816485,36.64227787966246
31,8.151000022888184,H2,120.22081958772712,37.006259196291744
32,8.359999656677246,H2,120.24210895665833,37.06972470768544
33,8.569000244140625,H2,120.2539370153819,37.239722370528526
34,8.777999877929688,H2,120.25630268126164,37.28889838136351
35,8.987000465393066,H2,120.25630268126164,37.08405770579803
36,9.196000099182129,H2,120.23737785948019,37.27865263671759
37,9.404999732971191,H2,120.23264683447753,37.229478501287105
38,9.61400032043457,H2,120.24447453231369,37.429486202165016
39,9.822999954223633,H2,120.23028134904135,37.46226328789681
40,10.031999588012695,H2,120.2231850009916,37.35243072111072
41,10.241000175476074,H2,120.24210895665833,37.17826501429933
42,10.449999809265137,H2,120.25866836518695,36.83263027011363
43,10.659000396728516,H2,120.2515713675475,36.441802978515625
44,10.868000030517578,H2,120.22081958772712,36.701620591039095
45,11.07699966430664,H2,120.22081958772712,37.01649455454792
46,11.28600025177002,H2,120.23028134904135,37.19874923733979
47,11.494999885559082,H2,120.22081958772712,37.09634374166004
48,11.704000473022461,H2,120.24447453231369,37.299144516783514
49,11.913000106811523,H2,120.24447453231369,37.3585798094308
50,12.121999740600586,H2,120.2492057377581,37.35448040158074
51,12.331000328063965,H2,120.2515713675475,37.1885069305421
52,12.539999961853027,H2,120.23028134904135,37.24586887959214
53,12.74899959564209,H2,120.21845419250509,36.922343973320615
54,12.958000183105469,H2,120.21372345618741,36.91825121866632
55,13.166999816894531,H2,120.24447453231369,36.86948826706538
56,13.37600040435791,H2,120.24210895665833,36.734367015718746
57,13.585000038146973,H2,120.23028134904135,36.81215579185037
58,13.793999671936035,H2,120.2279158816485,36.81010842992105
59,14.003000259399414,H2,120.2515713675475,36.88587122368014
60,14.211999893188477,H2,120.25630268126164,36.86744046778989
61,14.420999526977539,H2,120.24210895665833,37.004212171460104
62,14.630000114440918,H2,120.22555043229866,37.17826501429933
63,14.83899974822998,H2,120.26576552523782,36.94485523928592
64,15.04800033569336,H2,120.2515713675475,37.23152724388312
65,15.256999969482422,H2,120.26339978717482,37.43153465289928
66,15.465999603271484,H2,120.25866836518695,37.09224833391789
67,15.675000190734863,H2,120.27049705550297,36.92029758819404
68,15.883999824523926,H2,120.26813128134717,36.79373009668008
69,16.093000411987305,H2,120.27996033259592,37.01854167301999
70,16.302000045776367,H2,120.28942389844988,37.0779148986462
71,16.51099967956543,H2,120.28469207942693,36.96327495187823
72,16.719999313354492,H2,120.27522865795515,36.91864013671875
73,16.929000854492188,H2,120.27759448625186,37.03901371617657
74,17.13800048828125,H2,120.27759448625186,37.626208705731635
75,17.347000122070312,H2,120.28705797991435,37.30529238561642
76,17.555999755859375,H2,120.28942389844988,37.20694336399277
77,17.764999389648438,H2,120.27759448625186,37.01035329277402
78,17.974000930786133,H2,120.2941557896664,36.93462261166525
79,18.183000564575195,H2,120.29652176234774,36.86948826706538
80,18.392000198364258,H2,120.32964727512696,36.82444029139176
81,18.60099983215332,H2,120.29652176234774,36.69752756890321
82,18.809999465942383,H2,120.2941557896664,36.5543111138219
83,19.018999099731445,H2,120.2941557896664,36.7507417266022
84,19.22800064086914,H2,120.29178983503385,37.004212171460104
85,19.437000274658203,H2,120.28705797991435,37.25406444379187
